5000001=Potion 
5000002=Elixir 
5000003=Revival
5000004={ST-POISON}Remedy
5000005={ST-PARALYSIS}Serum 
5000006=Portal 
5000007={ST-CURSE}Amulet
5000008=Music  
5000009={ST-WEAK}Salve 
5000010=Tonic  
5000011=Talaria
5000012=Rope   
5000013=Trap   
5000014=Spotter
5000015=Specs  
5000016=Key    
5000017=Boots  
5000018=Rat Kid
5000019=Scuba  
5000020=Bribe  
5000021=Mirror 
5000022=At.Ring
5000023=Vanish 
5000024=1 Gem  
5000025=2 Gems 
5000026=3 Gems 
5000027=4 Gems 
5000028=5 Gems 
5000029=6 Gems 
5000030=2 Spins
5000031=3 Spins
5000032=GoldBug
5000033=Seed   
5000034=Vinegar
5000035=Boulder
5000036=Pickaxe
5000037=Summon 
5000038=Pact   
5000039=Lamp   
5000040=4 Spins
5000041=5 Spins
5000042=  Neko 
5000043=  Bara 
5000044=  Kaze 
5000045=  Sato 
5000046=  Nawa 
5000047=  Kono 
5000048=  Hebi 
5000049=  Yoko 
5000050=  Sora 
5000051=  Yama 
5000052=  Rika 
5000053=  Yuki 
5000054=  Kumo 
5000055=  Jido 
5000056=  Wani 
5000057=  Taka 
5000058=  Kori 
5000059=  Saki 
5000060=  Kusa 
5000061=  Mado 
5000062=  Kobe 
5000063=  Hana 
5000064=  Kino 
5000065=  Naku 
5000066=  Yoru 
5000067=  Koso 
5000068=  Miru 
5000069=  Kasa 
5000070=  Haru 
5000071=  Demo 
5000072=  Nado 
5000073=  Mada 
5000074=  Kita 
5000075=  Doro 
5000076=  Hita 
5000077=  Gama 
5000078=  Niwa 
5000079=  Basu 
5000080=  Nara 
5000081=  Tobu 
5000082=  Naga 
5000083=  Mugi 
5000084=  Dake 
5000085=  Kawa 
5000086=  Hiru 
5000087=  Kami 
5000088=  Momo 
5000089=  Suji 
5000090=  Tori 
5000091=  Mizu 
5000092=Orb    
